Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2015-06-06 19:01,,Pittsburgh Thunderbirds,39,O,3,3,Offense,OpponentPull,Anonymous,Anonymous,,,A Brown,Cooli,D Wise,Animal,P Shriwi,N Thib,B Hart,,,,,,,,,,,,,,,,,,,,,,531,Endzone A,0.728,0.800,Field,0.906,0.383,yds,81.0,22.2,-77.9,
2015-06-06 19:01,,Pittsburgh Thunderbirds,39,O,3,3,Offense,Catch,B Hart,A Brown,,,A Brown,Cooli,D Wise,Animal,P Shriwi,N Thib,B Hart,,,,,,,,,,,,,,,,,,,,,,540,Field,0.910,0.375,Field,0.756,0.467,yds,13.3,4.9,12.3,
2015-06-06 19:01,,Pittsburgh Thunderbirds,39,O,3,3,Offense,Catch,A Brown,Animal,,,A Brown,Cooli,D Wise,Animal,P Shriwi,N Thib,B Hart,,,,,,,,,,,,,,,,,,,,,,544,Field,0.756,0.467,Field,0.768,0.739,yds,14.6,14.5,-0.9,
2015-06-06 19:01,,Pittsburgh Thunderbirds,39,O,3,3,Offense,Catch,Animal,D Wise,,,A Brown,Cooli,D Wise,Animal,P Shriwi,N Thib,B Hart,,,,,,,,,,,,,,,,,,,,,,548,Field,0.768,0.739,Field,0.611,0.787,yds,12.8,2.5,12.6,
2015-06-06 19:01,,Pittsburgh Thunderbirds,39,O,3,3,Offense,Catch,D Wise,Animal,,,A Brown,Cooli,D Wise,Animal,P Shriwi,N Thib,B Hart,,,,,,,,,,,,,,,,,,,,,,552,Field,0.611,0.787,Field,0.584,0.577,yds,11.4,11.2,2.1,
2015-06-06 19:01,,Pittsburgh Thunderbirds,39,O,3,3,Offense,Catch,Animal,P Shriwi,,,A Brown,Cooli,D Wise,Animal,P Shriwi,N Thib,B Hart,,,,,,,,,,,,,,,,,,,,,,556,Field,0.584,0.577,Field,0.437,0.317,yds,18.2,13.9,11.8,
2015-06-06 19:01,,Pittsburgh Thunderbirds,39,O,3,3,Offense,Catch,P Shriwi,Cooli,,,A Brown,Cooli,D Wise,Animal,P Shriwi,N Thib,B Hart,,,,,,,,,,,,,,,,,,,,,,560,Field,0.437,0.317,Field,0.315,0.213,yds,11.2,5.5,9.8,
2015-06-06 19:01,,Pittsburgh Thunderbirds,39,O,3,3,Offense,Catch,Cooli,N Thib,,,A Brown,Cooli,D Wise,Animal,P Shriwi,N Thib,B Hart,,,,,,,,,,,,,,,,,,,,,,564,Field,0.315,0.213,Field,0.252,0.154,yds,5.9,3.2,5.0,
2015-06-06 19:01,,Pittsburgh Thunderbirds,39,O,3,3,Offense,Goal,N Thib,D Wise,,,A Brown,Cooli,D Wise,Animal,P Shriwi,N Thib,B Hart,,,,,,,,,,,,,,,,,,,,,,568,Field,0.252,0.154,Endzone A,0.462,0.240,yds,31.3,4.6,30.9,
2015-06-06 19:01,,Pittsburgh Thunderbirds,102,D,3,4,Defense,Pull,,,K Brown,,C Wilen,J Froude,K Brown,B Nelson,S Meyer,A Mesh,B Ever,,,,,,,,,,,,,,,,,,,,,,627,Endzone A,0.610,0.388,Endzone B,0.241,0.437,yds,92.7,2.6,92.6,
