Date/Time,Tournamemnt,Opponent,Point Elapsed Seconds,Line,Our Score - End of Point,Their Score - End of Point,Event Type,Action,Passer,Receiver,Defender,Hang Time (secs),Player 0,Player 1,Player 2,Player 3,Player 4,Player 5,Player 6,Player 7,Player 8,Player 9,Player 10,Player 11,Player 12,Player 13,Player 14,Player 15,Player 16,Player 17,Player 18,Player 19,Player 20,Player 21,Player 22,Player 23,Player 24,Player 25,Player 26,Player 27,Elapsed Time (secs),Begin Area,Begin X,Begin Y,End Area,End X,End Y,Distance Unit of Measure,Absolute Distance,Lateral Distance,Toward Our Goal Distance
2018-07-07 18:15,AUDL,Toronto Rush,77,O,2,3,Offense,Catch,Vallee,Goderre,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,591,Field,0.402,0.377,Field,0.323,0.550,yds,11.1,9.2,-6.3,
2018-07-07 18:15,AUDL,Toronto Rush,77,O,2,3,Offense,Catch,Goderre,Vallee,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,595,Field,0.323,0.550,Field,0.400,0.337,yds,12.9,11.4,6.1,
2018-07-07 18:15,AUDL,Toronto Rush,77,O,2,3,Offense,Catch,Vallee,Burden,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,598,Field,0.400,0.337,Field,0.496,0.598,yds,15.9,13.9,7.7,
2018-07-07 18:15,AUDL,Toronto Rush,77,O,2,3,Offense,Goal,Burden,Malik,,,Malik,Nas,Vallee,Goderre,Saunders,Burden,Quentin,,,,,,,,,,,,,,,,,,,,,,632,Field,0.496,0.598,Endzone B,0.407,0.752,yds,49.2,8.3,48.5,
2018-07-07 18:15,AUDL,Toronto Rush,46,D,3,3,Defense,Pull,,,Ceballos,,Cabot,Lemieux,Monfette,Andre,Ceballos,Groulx,Massi,,,,,,,,,,,,,,,,,,,,,,667,Endzone B,0.134,0.227,Endzone A,0.441,0.617,yds,96.1,20.8,93.9,
2018-07-07 18:15,AUDL,Toronto Rush,46,D,3,3,Defense,OpponentCatch,,,Anonymous,,Cabot,Lemieux,Monfette,Andre,Ceballos,Groulx,Massi,,,,,,,,,,,,,,,,,,,,,,671,Endzone A,0.434,0.602,Field,0.001,0.555,yds,11.7,2.5,-11.4,
2018-07-07 18:15,AUDL,Toronto Rush,46,D,3,3,Defense,D,,,Cabot,,Cabot,Lemieux,Monfette,Andre,Ceballos,Groulx,Massi,,,,,,,,,,,,,,,,,,,,,,675,Field,0.001,0.555,Field,0.184,0.202,yds,23.8,18.8,-14.6,
2018-07-07 18:15,AUDL,Toronto Rush,46,D,3,3,Offense,Catch,Cabot,Ceballos,,,Cabot,Lemieux,Monfette,Andre,Ceballos,Groulx,Massi,,,,,,,,,,,,,,,,,,,,,,678,Field,0.220,0.211,Field,0.033,0.198,yds,15.0,0.7,15.0,
2018-07-07 18:15,AUDL,Toronto Rush,46,D,3,3,Offense,Catch,Ceballos,Monfette,,,Cabot,Lemieux,Monfette,Andre,Ceballos,Groulx,Massi,,,,,,,,,,,,,,,,,,,,,,683,Field,0.033,0.198,Field,0.129,0.363,yds,11.7,8.8,-7.7,
2018-07-07 18:15,AUDL,Toronto Rush,46,D,3,3,Offense,Catch,Monfette,Groulx,,,Cabot,Lemieux,Monfette,Andre,Ceballos,Groulx,Massi,,,,,,,,,,,,,,,,,,,,,,687,Field,0.129,0.363,Field,0.113,0.586,yds,11.9,11.9,1.3,
