Year,Name,Opponent,Goals,GoalsAgainst,Throws,Catches,Turnovers,Forced_Turns,AvgHangTime,AvgThrowsPerScore,CompletionPct,ThrowingPct,CatchingPct,Win
2018,atlanta_hustle,nashville_nightwatch,24,21,272,240,26,6,6.26795238095238,11.333333333333334,0.8823529411764706,0.9315068493150684,0.975609756097561,1
2018,raleigh_flyers,madison_radicals,24,16,369,341,18,10,7.082083333333333,15.375,0.924119241192412,0.9559585492227979,0.9970760233918129,1
2018,raleigh_flyers,dallas_roughnecks,24,20,311,267,34,10,6.717619047619047,12.958333333333334,0.8585209003215434,0.9093567251461988,0.9888888888888889,1
2018,raleigh_flyers,dc_breeze,24,25,310,271,28,11,6.665318181818183,12.916666666666666,0.8741935483870967,0.9253731343283582,0.9890510948905109,0
2018,raleigh_flyers,nashville_nightwatch,31,26,296,264,20,12,6.792296296296296,9.548387096774194,0.8918918918918919,0.9367088607594937,1.0,1
2018,raleigh_flyers,dallas_roughnecks,19,20,235,185,36,14,5.899,12.368421052631579,0.7872340425531915,0.8834586466165414,0.9736842105263158,0
2018,raleigh_flyers,tampa_bay_cannons,23,20,283,251,22,10,6.598363636363637,12.304347826086957,0.8869257950530035,0.9370860927152318,0.9881889763779528,1
2018,raleigh_flyers,austin_sol,32,14,300,258,23,19,7.182629629629629,9.375,0.86,0.9375,0.9885057471264368,1
2018,raleigh_flyers,austin_sol,23,25,299,260,27,12,7.118190476190476,13.0,0.8695652173913043,0.9171779141104295,1.0,0
2018,raleigh_flyers,austin_sol,26,23,262,222,27,13,6.084759999999999,10.076923076923077,0.8473282442748091,0.9192982456140351,0.9823008849557522,1
2018,raleigh_flyers,tampa_bay_cannons,20,17,264,228,24,12,5.921499999999999,13.2,0.8636363636363636,0.9198606271777003,0.9956331877729258,1
2018,raleigh_flyers,atlanta_hustle,20,30,368,334,26,8,7.1158,18.4,0.907608695652174,0.9435897435897436,0.9881656804733728,0
2018,raleigh_flyers,nashville_nightwatch,33,20,339,299,25,15,6.4265185185185185,10.272727272727273,0.8820058997050148,0.9338842975206612,0.9966666666666667,1
2018,raleigh_flyers,tampa_bay_cannons,27,22,261,223,26,12,6.360307692307692,9.666666666666666,0.8544061302681992,0.9125874125874126,0.9955357142857143,1
2018,raleigh_flyers,dallas_roughnecks,14,17,255,178,61,16,3.8337499999999998,18.214285714285715,0.6980392156862745,0.819935691318328,0.9726775956284153,0
2018,raleigh_flyers,nashville_nightwatch,27,15,358,316,28,14,6.985655172413794,13.25925925925926,0.88268156424581,0.927461139896373,1.0,1
2018,raleigh_flyers,atlanta_hustle,26,25,304,276,20,8,6.264692307692308,11.692307692307692,0.9078947368421053,0.9411764705882353,0.9963898916967509,1
2018,madison_radicals,detroit_mechanix,37,8,232,174,28,30,8.633333333333335,6.27027027027027,0.75,0.8957528957528957,0.9942857142857143,1
2018,madison_radicals,pittsburgh,25,21,285,253,20,12,3.771888888888889,11.4,0.887719298245614,0.9437086092715232,0.98828125,1
2018,madison_radicals,la_aviators,24,19,321,283,24,14,6.251913043478261,13.375,0.881619937694704,0.9385964912280702,0.9895104895104895,1
2018,madison_radicals,indianapolis_alleycats,20,13,234,179,39,16,5.208235294117648,11.7,0.7649572649572649,0.8666666666666667,0.9835164835164835,1
2018,madison_radicals,indianapolis_alleycats,27,18,291,253,25,13,6.849071428571429,10.777777777777779,0.8694158075601375,0.9267515923566879,0.9921568627450981,1
2018,madison_radicals,indianapolis_alleycats,26,17,351,300,31,20,6.5447500000000005,13.5,0.8547008547008547,0.9335106382978723,0.9803921568627451,1
2018,madison_radicals,chicago_wildfire,24,16,247,205,29,13,7.181,10.291666666666666,0.8299595141700404,0.894927536231884,1.0,1
2018,madison_radicals,minnesota_windchill,35,24,281,248,20,13,6.896875,8.028571428571428,0.8825622775800712,0.9429530201342282,0.9880478087649402,1
2018,madison_radicals,pittsburgh_thunderbirds,29,13,270,204,41,25,6.454071428571429,9.310344827586206,0.7555555555555555,0.8910891089108911,0.9622641509433962,1
2018,madison_radicals,chicago_wildfire,27,24,347,313,22,12,7.224592592592592,12.851851851851851,0.9020172910662824,0.9455040871934605,0.9936507936507937,1
2018,madison_radicals,chicago_wildfire,22,21,294,252,35,7,6.644363636363636,13.363636363636363,0.8571428571428571,0.9102167182662538,0.9767441860465116,1
2018,madison_radicals,raleigh_flyers,16,24,306,279,21,6,6.858642857142857,19.125,0.9117647058823529,0.95625,0.9755244755244755,0
2018,madison_radicals,dallas_roughnecks,20,16,206,174,21,11,6.4826875,10.3,0.8446601941747572,0.9074889867841409,1.0,1
2018,madison_radicals,indianapolis_alleycats,20,21,267,235,29,3,5.736388888888889,13.35,0.8801498127340824,0.9050847457627119,0.9957627118644068,0
2018,madison_radicals,minnesota_windchill,20,17,264,222,29,13,6.342761904761905,13.2,0.8409090909090909,0.9198606271777003,0.9736842105263158,1
2018,madison_radicals,minnesota_windchill,20,19,229,192,29,8,6.070954545454546,11.45,0.8384279475982532,0.9015748031496063,0.9795918367346939,1
2018,madison_radicals,detroit_mechanix,27,12,261,200,39,22,6.22864,9.666666666666666,0.7662835249042146,0.8877551020408163,0.970873786407767,1
2018,toronto_rush,philadelphia_phoenix,19,18,209,130,62,17,6.648904761904761,11.0,0.6220095693779905,0.7916666666666666,0.948905109489051,1
2018,toronto_rush,dc_breeze,33,20,295,247,29,19,5.9450666666666665,8.93939393939394,0.8372881355932204,0.913312693498452,0.9959677419354839,1
2018,toronto_rush,montreal_royal,21,18,244,194,39,11,5.3117857142857146,11.619047619047619,0.7950819672131147,0.8714285714285714,0.9847715736040609,1
2018,toronto_rush,dc_breeze,28,21,277,228,35,14,6.843148148148149,9.892857142857142,0.8231046931407943,0.8906752411575563,0.9956331877729258,1
2018,toronto_rush,ottawa_outlaws,26,13,213,150,47,16,5.768541666666667,8.192307692307692,0.704225352112676,0.83203125,0.974025974025974,1
2018,toronto_rush,new_york_empire,17,18,282,229,38,15,6.342666666666667,16.58823529411765,0.8120567375886525,0.8924050632911392,0.9828326180257511,0
2018,toronto_rush,montreal_royal,24,20,243,181,45,17,6.77826923076923,10.125,0.7448559670781894,0.8678571428571429,0.9576719576719577,1
2018,toronto_rush,philadelphia_phoenix,28,23,243,197,37,9,6.225076923076923,8.678571428571429,0.8106995884773662,0.8868613138686131,0.9704433497536946,1
2018,toronto_rush,montreal_royal,28,24,281,238,31,12,7.012384615384614,10.035714285714286,0.8469750889679716,0.9064516129032258,0.9916666666666667,1
2018,toronto_rush,ottawa_outlaws,27,17,254,199,31,24,6.432846153846153,9.407407407407407,0.7834645669291339,0.8975265017667845,0.9900497512437811,1
2018,toronto_rush,dc_breeze,24,25,295,255,31,9,6.766571428571428,12.291666666666666,0.864406779661017,0.9190031152647975,0.9807692307692307,0
2018,toronto_rush,new_york_empire,18,14,227,177,32,18,5.599058823529412,12.61111111111111,0.7797356828193832,0.88671875,0.9833333333333333,1
2018,toronto_rush,ottawa_outlaws,21,19,316,254,44,18,6.458736842105264,15.047619047619047,0.8037974683544303,0.8926553672316384,0.9769230769230769,1
2018,toronto_rush,new_york_empire,25,18,274,223,33,18,6.31804347826087,10.96,0.8138686131386861,0.898360655737705,0.9911111111111112,1
2018,toronto_rush,san_francisco_flame_throwers,28,18,224,185,21,18,5.715107142857144,8.0,0.8258928571428571,0.9256198347107438,0.9840425531914894,1
2018,chicago_wildfire,indianapolis_alleycats,21,25,289,251,31,7,6.96552380952381,13.761904761904763,0.8685121107266436,0.9203821656050956,0.9766536964980544,0
2018,chicago_wildfire,detroit_mechanix,25,18,237,171,49,17,5.786409090909092,9.48,0.7215189873417721,0.855595667870036,0.95,1
2018,chicago_wildfire,detroit_mechanix,34,12,280,211,52,17,6.160857142857143,8.235294117647058,0.7535714285714286,0.8588957055214724,0.9723502304147466,1
2018,chicago_wildfire,indianapolis_alleycats,18,25,291,256,31,4,6.262277777777778,16.166666666666668,0.8797250859106529,0.909375,0.9922480620155039,0
2018,chicago_wildfire,madison_radicals,21,22,339,298,33,8,6.719999999999999,16.142857142857142,0.8790560471976401,0.9287671232876712,0.9770491803278688,0
2018,chicago_wildfire,pittsburgh_thunderbirds,21,16,321,269,41,11,7.032565217391304,15.285714285714286,0.838006230529595,0.9067796610169492,0.9711191335740073,1
2018,chicago_wildfire,indianapolis,22,26,275,245,25,5,8.883000000000003,12.5,0.8909090909090909,0.9228187919463087,0.9919028340080972,0
2018,chicago_wildfire,minnesota_wind_chill,20,23,282,237,32,13,7.371,14.1,0.8404255319148937,0.9067524115755627,0.9875,0
2018,chicago_wildfire,madison_radicals,24,27,299,266,23,10,6.301565217391303,12.458333333333334,0.8896321070234113,0.943217665615142,0.981549815498155,0
2018,chicago_wildfire,madison_radicals,16,24,397,357,35,5,5.3648235294117645,24.8125,0.8992443324937027,0.9254079254079254,0.9916666666666667,0
2018,chicago_wildfire,pittsburgh_thunderbirds,20,15,284,233,37,14,4.504789473684211,14.2,0.8204225352112676,0.8987341772151899,0.9789915966386554,1
2018,chicago_wildfire,minnesota_windchill,23,24,286,249,28,9,6.3580000000000005,12.434782608695652,0.8706293706293706,0.910828025477707,1.0,0
2018,chicago_wildfire,minnesota_wind_chill,23,25,223,191,26,6,6.67647619047619,9.695652173913043,0.8565022421524664,0.9102040816326531,0.9794871794871794,0
2018,chicago_wildfire,detroit_mechanix,31,27,275,233,24,18,5.2019375,8.870967741935484,0.8472727272727273,0.9259259259259259,0.9914893617021276,1
2018,san_jose_spiders,san_francisco_flamethrowers,17,21,248,174,66,8,6,14.588235294117647,0.7016129032258065,0.8131147540983606,0.9508196721311475,0
2018,san_jose_spiders,los_angeles_aviators,31,33,319,277,34,8,6.371370370370371,10.290322580645162,0.8683385579937304,0.9088319088319088,0.992831541218638,0
2018,san_jose_spiders,san_diego_growlers,28,31,320,279,31,10,6,11.428571428571429,0.871875,0.9195402298850575,0.9893617021276596,0
2018,san_jose_spiders,seattle_cascades,28,25,355,291,50,14,6.0188461538461535,12.678571428571429,0.819718309859155,0.8897243107769424,0.9797979797979798,1
2018,san_jose_spiders,los_angeles_aviators,18,27,338,290,35,13,6.4810625,18.77777777777778,0.8579881656804734,0.9110512129380054,0.9931506849315068,0
2018,san_jose_spiders,los_angeles_aviators,16,25,296,250,39,7,6.4232499999999995,18.5,0.8445945945945946,0.891566265060241,0.9881422924901185,0
